"country","iso3c","tonnes_freshwater","tonnes","prop.exports.freshwater"
"Armenia","ARM",84,323,26.0061919504644
"Italy","ITA",781,4289,18.2093728141758
"Finland","FIN",1,10,10
"China","CHN",19115,313467,6.0979305636638
"Spain","ESP",2497,55250,4.51945701357466
"Turkey","TUR",57,1540,3.7012987012987
"Greece","GRC",82,2706,3.03030303030303
"Slovenia","SVN",2,154,1.2987012987013
"Thailand","THA",1583,227714,0.695170257428177
"Luxembourg","LUX",1,184,0.543478260869565
"United States of America","USA",396,83200,0.475961538461538
"France","FRA",73,18665,0.391106348781141
"Czechia","CZE",1,296,0.337837837837838
"Netherlands","NLD",181,89232,0.202842029765107
"Belgium","BEL",93,52724,0.176390258705713
"United Kingdom","GBR",93,52914,0.175756888536115
"Austria","AUT",1,666,0.15015015015015
"Germany","DEU",28,22357,0.125240416871673
"Sweden","SWE",6,5331,0.112549240292628
"Bangladesh","BGD",11,40887,0.0269034167339252
"Russian Federation","RUS",2,87862,0.00227629692017027
"Denmark","DNK",1,94109,0.0010625976261569
